id,naslov,leto,ocena
porn_star_the_legend_of_ron_jeremy,Porn Star: The Legend of Ron Jeremy,2001,69
the_salvation,The Salvation,2015,70
exorcist_the_version_youve_never_seen,Exorcist: The Version You've Never Seen,2000,88
silence_of_the_lambs,The Silence of the Lambs,1991,95
amour_2013,Amour,2012,93
1158179-devil_and_daniel_johnston,The Devil and Daniel Johnston,2006,89
senna,Senna,2011,92
28_days_later,28 Days Later,2003,87
emperors_new_groove,The Emperor's New Groove,2000,85
about_elly,About Elly,2015,98
millennium-actress,Millennium Actress (Sennen joyû),2001,92
town_called_panic,Panique au village (A Town Called Panic),2009,84
20_feet_from_stardom,20 Feet From Stardom,2013,99
marina_abramovic_the_artist_is_present_2012,Marina Abramovic: The Artist Is Present,2012,95
1007818-frankenstein,Frankenstein,1931,100
juno,Juno,2007,94
sweeney_todd_the_demon_barber_of_fleet_street_2007,Sweeney Todd: The Demon Barber of Fleet Street,2007,86
let_me_in,Let Me In,2010,88
side_by_side_2012,Side by Side,2012,92
for_the_bible_tells_me_so,For the Bible Tells Me So,2007,98
my_kid_could_paint_that,My Kid Could Paint That,2007,94
berberian_sound_studio_2012,Berberian Sound Studio,2013,84
billy_elliot,Billy Elliot,2000,85
1195103-happy_go_lucky,Happy-Go-Lucky,2008,93
bone_tomahawk,Bone Tomahawk,2015,88
kung_fu_panda_the_kaboom_of_doom,Kung Fu Panda 2,2011,81
september_dawn,September Dawn,2007,13
nosferatu_the_vampyre,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),1979,94
the_class,The Class,2008,95
blade_runner,Blade Runner,1982,89
wallace_and_gromit_curse_of_the_wererabbit,Wallace & Gromit: The Curse of the Were-Rabbit,2005,95
scratch_2002,Scratch,2002,93
1017293-rebecca,Rebecca,1940,100
1041911-unforgiven,Unforgiven,1992,95
the_imposter_2012,The Imposter,2012,95
they_live,They Live,1988,83
modern_times,Modern Times,1936,100
iris_2015,Iris,2015,98
1079818-anastasia,Anastasia,1997,85
listen_to_me_marlon,Listen To Me Marlon,2015,96
no_country_for_old_men,No Country for Old Men,2007,93
saturday_night_fever,Saturday Night Fever,1977,88
straight_story,The Straight Story,1999,96
1001115-apartment,The Apartment,1960,93
49_up,49 Up,2006,95
march_of_the_penguins,March of the Penguins,2005,94
bull_durham,Bull Durham,1988,97
los_angeles_plays_itself,Los Angeles Plays Itself,2003,95
the_normal_heart,The Normal Heart,2014,94
the_pirates_band_of_misfits,The Pirates! Band of Misfits,2012,86
cave_of_forgotten_dreams,Cave of Forgotten Dreams,2011,96
1019544-spartacus,Spartacus,1960,96
call_me_kuchu_2011,Call Me Kuchu,2013,98
looking_for_eric,Looking for Eric,2010,85
hellboy,Hellboy,2004,81
lost_boys_of_sudan,Lost Boys of Sudan,2004,96
tell_them_who_you_are,Tell Them Who You Are,2005,88
seventh_seal,The Seventh Seal (Det Sjunde inseglet),1957,92
let_the_fire_burn_2013,Let The Fire Burn,2013,98
men_in_black,Men in Black,1997,92
misery,Misery,1990,89
kung_fu_panda,Kung Fu Panda,2008,87
sweet_smell_of_success,Sweet Smell of Success,1957,98
bridge_to_terabithia,Bridge to Terabithia,2007,85
5050_2011,50/50,2011,94
being_elmo_a_puppeteers_journey,Being Elmo: A Puppeteer's Journey,2011,95
the_sapphires_2012,The Sapphires,2013,91
antz,Antz,1998,96
moonstruck,Moonstruck,1987,92
brooklyn,Brooklyn,2015,98
381422018,Three Colors: Blue (Trois Couleurs: Bleu),1993,100
gravity_2013,Gravity,2013,97
les-plages-dagnes,Les Plages d'Agnès (The Beaches of Agnes),2008,95
this_is_the_end,This Is the End,2013,83
fed_up_2014,Fed Up,2014,80
mistaken_for_strangers,Mistaken for Strangers,2014,91
nascar_the_imax_experience,NASCAR: The IMAX Experience,2004,61
wages_of_fear,The Wages of Fear,1953,100
love_is_strange_2014,Love Is Strange,2014,94
raging_bull,Raging Bull,1980,97
surfwise,Surfwise,2007,98
stoked_the_rise_and_fall_of_gator,Stoked: The Rise and Fall of Gator,2003,79
lawrence_of_arabia,Lawrence of Arabia,1962,99
the_dark_knight_rises,The Dark Knight Rises,2012,87
airplane,Airplane!,1980,97
marwencol,Marwencol,2010,98
et_the_extraterrestrial,E.T. The Extra-Terrestrial,1982,98
dust_to_glory,Dust to Glory,2005,60
donnie_darko_the_directors_cut,Donnie Darko: The Director's Cut,2004,91
teachers_pet_2004,Teacher's Pet,2004,76
ai_weiwei_never_sorry_2012,Ai Weiwei: Never Sorry,2012,97
gone_baby_gone,Gone Baby Gone,2007,94
apollo_13,Apollo 13,1995,95
captain_america_the_winter_soldier_2014,Captain America: The Winter Soldier,2014,89
1214097-despicable_me,Despicable Me,2010,81
this_film_is_not_yet_rated,This Film Is Not Yet Rated,2006,84
akira,Akira,2001,87
1017289-rear_window,Rear Window,1954,100
godfather,The Godfather,1972,99
1011615-king_kong,King Kong,1933,98
1000617-aliens,Aliens,1986,98
the_kid_with_a_bike,The Kid with a Bike,2012,96
fantasia,Fantasia,1940,96
because_of_winndixie,Because of Winn-Dixie,2005,54
broadcast_news,Broadcast News,1987,98
treasure_of_the_sierra_madre,The Treasure of the Sierra Madre,1948,100
hustler,The Hustler,1961,98
peewees_big_adventure,Pee-wee's Big Adventure,1985,88
henry-portrait-of-a-serial-killer,Henry: Portrait of a Serial Killer,1986,86
rebel_without_a_cause,Rebel Without a Cause,1955,96
maverick,Maverick,1994,67
i_am_2011,I Am,2011,36
on_the_waterfront,On the Waterfront,1954,98
1042582-aladdin,Aladdin,1992,94
