id,naslov,leto,ocena
0038109,Spellbound,1945,7.7
0132477,October Sky,1999,7.8
0039628,Miracle on 34th Street,1947,7.9
0113824,Whisper of the Heart,1995,8.0
0363163,Downfall,2004,8.3
1130884,Shutter Island,2010,8.1
0077402,Dawn of the Dead,1978,8.0
1392214,Prisoners,2013,8.1
0451094,Sympathy for Lady Vengeance,2005,7.7
0064115,Butch Cassidy and the Sundance Kid,1969,8.1
0068646,The Godfather,1972,9.2
0479143,Rocky Balboa,2006,7.2
0887912,The Hurt Locker,2008,7.6
0063522,Rosemary&#x27;s Baby,1968,8.0
0121164,Corpse Bride,2005,7.4
0032455,Fantasia,1940,7.8
1663202,The Revenant,2015,8.3
0097441,Glory,1989,7.9
0054047,The Magnificent Seven,1960,7.8
0365748,Shaun of the Dead,2004,8.0
0210945,Remember the Titans,2000,7.8
0030341,The Lady Vanishes,1938,8.0
0104231,Far and Away,1992,6.5
0075148,Rocky,1976,8.1
0113568,Ghost in the Shell,1995,8.0
0093058,Full Metal Jacket,1987,8.3
0808417,Persepolis,2007,8.0
0120689,The Green Mile,1999,8.5
2375559,1,2014,8.7
0046183,Peter Pan,1953,7.4
0230600,The Others,2001,7.6
0120910,Fantasia/2000,1999,7.3
0371746,Iron Man,2008,7.9
0107692,Ninja Scroll,1993,7.9
0352248,Cinderella Man,2005,8.0
0096487,Young Guns,1988,6.8
0108002,Rudy,1993,7.5
0083866,E.T. the Extra-Terrestrial,1982,7.9
0103639,Aladdin,1992,8.0
0318462,The Motorcycle Diaries,2004,7.8
0050212,The Bridge on the River Kwai,1957,8.2
0049833,The Ten Commandments,1956,7.9
0111495,Three Colors: Red,1994,8.1
0435761,Toy Story 3,2010,8.4
0064116,Once Upon a Time in the West,1968,8.6
0133093,The Matrix,1999,8.7
0015648,Battleship Potemkin,1925,8.0
1821700,Waar,2013,8.5
0109830,Forrest Gump,1994,8.8
0063350,Night of the Living Dead,1968,8.0
0043014,Sunset Blvd.,1950,8.5
0096283,My Neighbor Totoro,1988,8.3
0126029,Shrek,2001,7.9
0032599,His Girl Friday,1940,8.0
1038988,[Rec],2007,7.5
2140373,Saving Mr. Banks,2013,7.5
0029843,The Adventures of Robin Hood,1938,8.0
0871510,Chakde! India,2007,8.4
0127536,Elizabeth,1998,7.5
0065421,The AristoCats,1970,7.1
0059578,For a Few Dollars More,1965,8.3
0114746,Twelve Monkeys,1995,8.1
0116282,Fargo,1996,8.2
0382932,Ratatouille,2007,8.0
0085959,The Meaning of Life,1983,7.6
0013442,Nosferatu,1922,8.0
1772341,Wreck-It Ralph,2012,7.8
0097814,Kiki&#x27;s Delivery Service,1989,7.9
1131729,Pirate Radio,2009,7.4
0286244,The Triplets of Belleville,2003,7.8
0012349,The Kid,1921,8.4
1504320,The King&#x27;s Speech,2010,8.0
0102926,The Silence of the Lambs,1991,8.6
0378194,Kill Bill: Vol. 2,2004,8.0
1646971,How to Train Your Dragon 2,2014,7.9
0046250,Roman Holiday,1953,8.1
0910970,WALL&#xB7;E,2008,8.4
0114787,Underground,1995,8.1
0062229,Le Samoura&#xEF;,1967,8.1
0051201,Witness for the Prosecution,1957,8.4
0129167,The Iron Giant,1999,8.0
0408306,Munich,2005,7.6
0058385,My Fair Lady,1964,7.9
1345836,The Dark Knight Rises,2012,8.5
0347149,Howl&#x27;s Moving Castle,2004,8.2
0089767,Pale Rider,1985,7.3
0217505,Gangs of New York,2002,7.5
0101761,The Doors,1991,7.2
0041959,The Third Man,1949,8.3
0053285,Sleeping Beauty,1959,7.3
0903624,The Hobbit: An Unexpected Journey,2012,7.9
1954470,Gangs of Wasseypur,2012,8.3
0103064,Terminator 2: Judgment Day,1991,8.5
0056197,The Longest Day,1962,7.8
0101414,Beauty and the Beast,1991,8.0
0114709,Toy Story,1995,8.3
0057546,The Sword in the Stone,1963,7.2
0037008,Laura,1944,8.1
0057115,The Great Escape,1963,8.3
0015864,The Gold Rush,1925,8.3
0087843,Once Upon a Time in America,1984,8.4
0072684,Barry Lyndon,1975,8.1
3460252,The Hateful Eight,2015,8.1
0042192,All About Eve,1950,8.3
1187043,3 Idiots,2009,8.5
0110932,Quiz Show,1994,7.5
0058182,A Hard Day&#x27;s Night,1964,7.7
2631186,Baahubali: The Beginning,2015,8.7
0111161,The Shawshank Redemption,1994,9.3
0018455,Sunrise,1927,8.4
2024519,The Broken Circle Breakdown,2012,7.8
0021884,Frankenstein,1931,8.0
0454876,Life of Pi,2012,8.0
0036868,The Best Years of Our Lives,1946,8.2
0379217,Coffee and Cigarettes,2003,7.1
0070511,Papillon,1973,8.0
0079522,Manhattan,1979,8.0
0211915,Am&#xE9;lie,2001,8.4
0870111,Frost/Nixon,2008,7.7
0181875,Almost Famous,2000,7.9
0078788,Apocalypse Now,1979,8.5
3011894,Wild Tales,2014,8.2
0112641,Casino,1995,8.2
0107290,Jurassic Park,1993,8.1
0369702,The Sea Inside,2004,8.1
0042332,Cinderella,1950,7.3
0168629,Dancer in the Dark,2000,8.0
1024648,Argo,2012,7.8
