koren,stevilo,drama,biography,action,family,horror,fantasy,sport,comedy,crime,mystery,animation,sci_fi,thriller,music,history,film_noir,war,western,romance,musical,adventure
against,170,115,30,46,16,1,33,14,17,15,4,20,22,29,0,36,6,29,14,14,19,58
agamemnon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
agath,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
agency,5,4,0,3,0,0,0,0,1,1,1,0,0,3,0,0,1,3,0,4,0,0
agend,2,2,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
agent,56,21,3,19,14,4,7,2,15,19,8,14,13,25,0,2,7,0,1,4,0,24
aggression,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggressiv,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
agh,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aghd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aging,28,20,2,5,1,0,2,1,5,10,2,0,2,0,0,0,0,0,7,4,0,5
agisil,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
agitation,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
agn,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agoraphobic,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
agr,23,15,1,4,10,2,5,1,5,2,0,6,4,4,0,1,0,1,2,5,5,10
agricultural,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aguirr,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
ah,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ahm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aid,6,5,4,0,0,0,0,2,0,2,0,0,0,1,0,0,2,0,0,1,0,0
aiding,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ail,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ailing,8,2,0,0,8,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0
aim,4,1,0,3,0,0,2,0,2,0,0,3,2,0,0,0,0,0,0,0,0,2
aimles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
aint,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
air,15,15,0,4,5,0,5,1,4,0,1,6,4,4,0,0,1,4,0,1,0,6
airlin,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
airplan,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ajay,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ajit,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
ak,6,2,1,0,4,1,0,0,4,0,0,0,0,1,0,0,0,0,0,4,5,0
akol,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
al,18,17,2,5,0,3,0,0,4,1,3,0,0,8,3,2,1,0,1,1,1,2
alabam,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
aladdin,2,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
alam,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alan,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
alask,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
albanian,5,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
albert,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
album,13,3,1,0,0,0,2,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0
albuquerq,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
alchemist,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcoholic,16,14,0,0,2,1,2,3,2,2,0,2,0,3,0,1,3,1,0,4,2,0
alec,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alex,6,4,0,0,0,0,0,0,1,4,1,0,4,1,1,0,0,0,0,1,0,0
alexander,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
alexandr,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,1,0,1
alfr,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
algerian,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
algier,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
alib,3,3,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0
alic,3,1,0,0,1,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,1,2
alien,27,3,0,9,2,11,6,1,3,0,0,3,26,9,0,0,0,0,0,0,1,5
alik,6,3,0,0,0,0,0,0,3,2,0,0,0,0,2,3,0,0,0,4,0,0
alis,5,0,0,0,5,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5
alister,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aliv,7,4,0,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,1,0,4
all,179,92,9,29,22,7,27,14,53,29,15,30,17,31,13,22,0,30,5,43,10,33
allah,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6
allegory,2,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
allen,3,3,0,0,0,1,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0
alley,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allianc,12,0,0,0,6,1,6,0,6,0,0,6,0,1,0,0,0,0,5,0,0,1
allow,17,10,1,0,0,1,3,5,6,1,5,3,6,7,1,6,0,1,0,8,0,8
alluring,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
ally,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
almighty,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almost,8,6,4,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0
alon,14,7,0,0,0,3,4,0,6,0,0,1,6,2,2,1,0,0,0,1,0,6
along,46,17,5,10,7,0,12,4,12,1,1,2,8,4,3,4,1,0,3,12,5,21
alongsid,10,6,4,4,0,0,0,0,4,0,0,4,2,0,4,0,0,0,0,4,0,4
alp,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
alpin,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
already,3,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0
als,41,9,0,14,2,0,19,2,6,2,2,6,10,2,3,3,0,1,5,7,2,19
altamont,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
alter,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
altering,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
alternat,3,1,0,1,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0
alternativ,5,5,0,4,1,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0
although,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0
altynk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alv,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvy,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
alway,17,13,2,0,2,4,0,2,5,1,4,0,0,5,0,2,1,0,0,6,4,0
alyosh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
alzheimer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
am,7,5,2,0,1,0,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0
amad,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
aman,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
amarnath,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
amateur,8,3,0,0,0,0,0,3,5,3,1,0,0,1,0,0,2,0,0,1,0,0
amateurishnes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amazonian,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amb,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ambassador,3,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
ambit,8,7,2,2,0,0,0,0,2,2,1,0,0,2,0,0,3,0,0,0,0,0
ambition,11,7,0,0,0,3,1,1,5,1,1,0,0,2,1,3,1,3,0,3,2,1
ambon,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ambulanc,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
ambush,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
amel,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
amend,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
americ,28,17,2,3,2,2,1,1,10,6,1,0,0,8,2,2,5,3,1,10,3,2
american,115,76,16,23,6,12,4,7,25,7,6,0,7,23,2,13,6,31,23,26,5,21
amerikan,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
amidst,8,5,0,0,0,1,0,1,5,0,1,0,0,0,2,3,0,1,0,0,0,0
amin,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
amiran,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
amit,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
amity,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
amm,4,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4
amnes,6,3,1,1,1,0,0,0,0,1,3,0,0,3,0,0,3,0,0,3,0,0
amnesiac,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
amnesty,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
amok,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3
amol,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
among,11,7,0,3,0,0,1,0,2,1,0,5,0,1,0,0,1,3,1,1,0,4
amongst,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
amontillad,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
amoral,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
amount,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amsterdam,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
amt,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
amur,2,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
amusement,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
amy,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an,3137,1915,327,479,445,185,443,161,788,550,399,399,307,751,186,294,166,278,162,561,265,659
analys,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anand,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0
anant,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
anarchist,4,4,4,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
