koren,stevilo,drama,biography,action,family,horror,fantasy,sport,comedy,crime,mystery,animation,sci_fi,thriller,music,history,film_noir,war,western,romance,musical,adventure
jun,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jung,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
jungl,8,3,2,3,2,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,5
junkyar,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
jurist,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
juror,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
just,42,26,1,10,4,4,4,2,16,23,17,8,4,17,3,4,5,0,1,7,1,2
justic,22,12,3,2,0,0,0,0,4,11,6,0,0,14,0,0,2,0,5,6,0,2
juteng,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
juvenil,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
k,19,15,1,6,3,0,1,3,3,11,8,0,0,9,0,0,2,0,3,8,0,0
kaal,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
kabbad,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
kaguy,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
kajol,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
kak,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kakarot,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
kal,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaleidoscop,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kaleidoscopic,2,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
kaliyaperumal,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kalyan,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
kamal,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
kamin,3,3,0,2,0,1,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0
kanadikirik,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0
kanakadas,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
kanakal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kanam,3,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0
kanchanamal,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
kandish,2,0,0,0,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0
kann,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kap,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kapoor,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kapur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
karabakh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
karaivan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karamakat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
karat,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karen,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
karl,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
karnatak,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0
kartaveeryarjun,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kashmir,8,8,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,8,0,0
kaspar,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kassem,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
kathak,12,0,0,12,0,0,0,0,0,12,12,0,0,12,0,0,0,0,0,0,0,12
katj,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
katnis,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
kaurav,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
kaushik,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kavy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kay,2,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
kazimierz,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2
keen,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
keep,18,13,0,3,1,2,2,1,4,1,1,1,1,6,0,2,1,3,2,5,2,2
keeping,11,0,0,8,0,3,0,0,2,0,1,3,5,1,0,0,0,0,0,0,0,8
keg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kegong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
keller,3,3,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0
kelly,3,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
ken,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
kennedy,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
kent,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
keogh,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
kept,5,5,0,2,3,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0
keral,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
kerbloom,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kerry,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kevin,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key,5,2,0,0,1,0,2,1,1,1,1,1,0,3,0,0,1,0,0,0,1,1
keyboardist,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
khad,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khan,20,20,0,11,4,0,0,0,0,6,0,0,1,7,0,7,0,11,0,2,2,5
khann,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kharlamov,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
khazar,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4
khojaly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
khok,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khos,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
kick,3,0,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0
kid,30,14,2,7,13,2,1,2,15,3,2,6,7,1,2,0,2,0,0,6,0,4
kidnap,13,7,0,2,5,2,5,0,1,3,2,3,1,6,1,0,0,0,0,2,2,1
kidnapp,17,9,0,3,0,1,0,0,7,3,7,3,2,10,0,0,0,0,4,0,0,6
kidnapper,3,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0
kidnapping,11,1,0,0,0,0,0,0,4,9,0,0,0,10,0,0,7,0,0,0,0,0
kiefer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kill,95,49,0,21,3,21,3,0,8,26,16,3,13,39,1,1,8,11,12,8,5,10
killer,70,34,0,11,0,18,6,2,5,35,17,4,1,51,1,1,8,0,6,4,0,7
killing,21,10,2,0,0,2,0,2,2,11,6,0,0,6,0,0,1,0,8,3,0,0
kim,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
kin,10,6,0,4,0,0,0,0,3,0,1,0,0,2,0,4,0,0,5,0,0,0
kind,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
kindergarten,5,5,0,0,0,0,0,0,4,4,5,0,0,1,0,0,0,0,0,0,0,0
kindly,5,5,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0
kindnes,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kindr,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
king,90,43,15,9,40,1,44,0,21,1,1,33,0,2,0,22,1,5,0,19,28,46
kingdom,20,17,9,4,2,0,2,0,2,0,0,3,0,1,0,16,0,10,0,4,0,4
kingpin,3,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0
kinkaj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
kinomot,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
kinsey,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
kip,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kippur,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
kiraz,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
kirk,8,1,0,7,0,0,0,0,0,1,1,0,7,2,0,0,1,0,0,0,0,7
kis,8,1,0,5,0,1,5,0,7,0,1,5,0,1,0,0,0,0,0,6,0,1
kishan,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kitchen,6,0,0,0,6,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
kitty,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0
kiz,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kkk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
klansman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
klondik,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4
klux,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
km,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kn,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
knew,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
knight,24,1,0,14,1,0,15,0,7,0,0,0,11,4,1,2,0,0,0,0,0,17
knock,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0
knot,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
know,44,24,3,11,3,0,10,0,9,6,13,5,4,16,6,5,0,6,0,10,2,10
knowing,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
knowledg,4,4,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0
known,53,37,3,24,2,2,6,2,13,15,2,10,13,7,2,2,1,1,1,9,0,10
kobit,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
koch,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
kojir,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
kolkat,5,5,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,0
kolwalkar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kong,6,4,3,3,0,0,1,3,2,0,0,1,0,1,0,3,0,0,0,2,0,1
konohagakur,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4
kopfrkingl,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
koppãny,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
kor,5,5,0,1,0,0,0,1,0,3,3,0,0,4,0,1,0,2,0,0,0,0
korean,9,9,0,5,0,0,0,1,0,0,0,0,0,1,1,1,1,6,0,2,0,0
kosov,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
kossuth,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
kot,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kotov,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
kowelsk,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
koyel,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
krabat,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
kraft,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kragujevac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
krausov,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kriemhil,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
kring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kript,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
krishn,11,10,3,0,5,0,0,0,5,0,1,0,0,1,0,3,0,0,0,1,9,0
krishnadevaray,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
krishnamurthy,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
kristin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
krosmoz,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3
krstic,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krusev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
krymov,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0
kryt,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kubrat,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4
kumar,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0
kumatets,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
kumr,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kunkl,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kurd,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurdistan,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kuris,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0
kurmanjan,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
kust,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kusumagraj,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kuwait,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
kuzyakin,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
kyon,3,3,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0
kyrgyzstan,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
kyun,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kyut,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
l,144,86,27,27,17,3,32,7,26,16,17,9,15,27,33,25,6,8,6,24,3,35
labor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
laboratory,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
labyrinth,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
lac,10,8,0,0,2,0,0,0,1,6,6,0,0,6,0,0,0,2,0,3,0,2
lacey,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
lack,4,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
laconic,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
lad,3,1,0,0,0,1,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0
ladder,2,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0
lady,16,6,1,0,4,0,2,0,11,2,2,2,0,5,1,0,0,0,0,7,0,0
laert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lag,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
lahor,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laiming,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
lak,10,5,0,0,1,3,1,0,0,5,0,1,0,3,1,0,0,0,0,0,0,1
lakot,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
lalon,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lam,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lan,59,23,6,5,16,3,15,8,15,2,5,14,0,4,3,6,0,7,7,12,11,21
lancelot,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land,10,0,0,3,0,2,1,0,0,3,1,1,5,4,0,0,0,0,0,1,0,3
landing,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
landlady,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
landlor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
landlord,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
landowner,4,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
landowning,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
landscap,9,7,0,0,1,2,4,0,0,0,3,3,2,1,1,0,0,0,2,0,0,0
langley,3,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
languag,8,7,4,0,2,4,0,1,1,0,0,0,0,0,0,4,0,1,0,0,4,2
lank,6,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0
lar,5,1,0,4,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0
larcen,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
larg,7,6,0,0,0,2,2,0,1,0,2,2,4,0,1,1,0,1,1,1,0,0
largely,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
larry,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
lash,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
lass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
last,42,22,2,9,1,5,3,2,4,5,6,1,5,5,2,0,0,5,10,1,1,14
lat,20,12,2,0,0,2,2,3,7,2,2,0,0,6,2,3,0,0,2,1,0,0
later,34,23,2,3,5,1,1,1,8,11,10,0,1,14,1,2,4,2,0,9,2,0
latest,11,11,0,6,0,0,0,2,3,6,0,0,0,8,0,0,2,0,0,0,0,0
latimer,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
latin,6,5,0,4,0,0,0,0,1,0,0,0,0,0,1,4,0,4,0,4,0,4
latter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
latvian,4,4,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0
laud,6,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laughing,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
laughter,5,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0
launay,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
launch,7,7,4,0,2,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,3
laundering,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
law,40,33,6,2,8,0,1,2,3,16,4,1,2,22,1,0,3,0,9,3,2,2
lawles,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
lawlessnes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
lawman,13,7,1,7,0,0,0,0,2,4,0,0,0,0,2,4,0,0,11,2,0,1
lawn,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawyer,34,31,12,3,3,0,0,1,4,8,0,0,0,9,0,11,6,0,2,4,2,3
lay,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lazy,8,8,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0
lead,69,56,22,17,0,1,4,4,10,21,4,0,4,29,1,24,3,18,3,7,0,14
leader,46,29,8,17,0,3,4,0,13,8,7,6,3,13,0,9,1,10,6,13,0,18
leadership,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
leading,20,16,2,3,0,0,0,0,1,12,3,0,0,11,0,1,0,0,1,0,0,2
leadvill,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leag,15,4,4,4,3,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0,0,4
leaguer,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
leah,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lean,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learn,69,32,7,16,11,3,13,0,17,12,0,11,13,18,3,4,0,3,4,15,6,21
learning,10,4,1,0,1,0,0,0,2,0,0,2,2,0,0,1,0,0,2,2,0,0
least,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
leav,50,33,5,8,22,1,16,0,15,8,5,13,5,11,1,0,2,5,2,11,8,14
leaving,9,8,1,0,2,0,0,1,4,2,0,0,0,2,2,2,1,0,0,2,3,0
lebanes,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
lebanon,6,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0
lebowsk,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
lecturer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ledg,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
leed,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
leel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lefarg,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
left,36,30,4,1,1,2,3,0,8,2,1,1,5,8,0,1,0,1,5,7,0,8
leftist,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
leg,6,1,0,4,4,0,4,0,5,0,0,4,0,0,0,0,0,0,1,1,0,4
legacy,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
legal,7,6,2,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,1,1,0,0
legen,21,14,7,5,1,5,4,1,2,3,3,0,0,7,6,5,0,4,2,5,0,1
legend,10,7,0,0,0,0,0,5,10,2,0,0,0,0,0,6,0,2,0,7,0,5
legendarily,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
legendary,35,19,2,8,8,0,12,3,4,7,2,14,4,11,3,5,0,4,0,1,0,16
legg,8,0,0,0,8,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
legion,6,5,3,1,0,0,0,0,0,1,0,0,0,0,1,3,1,4,0,0,0,1
leighty,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lekh,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lem,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lemonad,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
len,3,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
length,7,5,2,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0
lengthy,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
lennon,4,1,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
leonar,3,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
leonor,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
leopar,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
les,4,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
lesnay,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lesson,3,3,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0
lest,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
let,13,10,0,1,1,2,1,0,1,8,0,0,2,8,0,1,7,0,0,0,0,0
letter,2,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
letting,8,8,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,8,0,0
lettr,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
